,,,,,,"Age-specific fertility rates (births per 1,000 women)",,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Period,15-19,20-24,25-29,30-34,35-39,40-44,45-49
182,Medium variant,Low-income countries,e,1500,2070-2075,34.8663,106.9293,151.2578,113.3149,62.8336,17.3087,4.3133
183,Medium variant,Low-income countries,e,1500,2075-2080,31.7032,101.0657,147.5618,112.4391,61.2703,16.2239,3.7908
184,Medium variant,Low-income countries,e,1500,2080-2085,28.7794,95.5323,144.1098,112.0174,59.9517,15.2595,3.3188
185,Medium variant,Low-income countries,e,1500,2085-2090,26.0881,90.2967,140.8773,111.9935,58.8614,14.4059,2.8978
186,Medium variant,Low-income countries,e,1500,2090-2095,23.6239,85.3376,137.8417,112.3436,58.0167,13.6601,2.5180
187,Medium variant,Low-income countries,e,1500,2095-2100,21.3667,80.5735,134.9081,112.9793,57.3433,12.9995,2.1883
188,Medium variant,Sub-Saharan Africa,f,947,2015-2020,101.3869,215.8808,229.8052,186.6923,133.3804,61.5640,21.6161
189,Medium variant,Sub-Saharan Africa,f,947,2020-2025,92.8327,203.2705,218.6135,173.9043,122.9885,54.1594,18.9662
190,Medium variant,Sub-Saharan Africa,f,947,2025-2030,84.6002,191.0279,208.0538,162.6247,114.0793,47.8316,16.5638
191,Medium variant,Sub-Saharan Africa,f,947,2030-2035,76.8812,179.0552,198.3680,152.9768,106.3683,42.6385,14.4564
192,Medium variant,Sub-Saharan Africa,f,947,2035-2040,69.8677,167.6816,189.1179,144.7612,99.8294,38.2869,12.7224
193,Medium variant,Sub-Saharan Africa,f,947,2040-2045,63.5018,157.2250,180.6336,137.6414,94.2997,34.6430,11.2942
194,Medium variant,Sub-Saharan Africa,f,947,2045-2050,57.6734,147.5484,173.0095,131.4942,89.3733,31.5431,10.0000
195,Medium variant,Sub-Saharan Africa,f,947,2050-2055,52.3716,138.6560,166.2257,126.4273,84.9814,28.8422,8.8025
196,Medium variant,Sub-Saharan Africa,f,947,2055-2060,47.5326,130.3977,160.1195,122.3007,81.1217,26.4724,7.7311
197,Medium variant,Sub-Saharan Africa,f,947,2060-2065,43.1989,122.9507,154.8824,119.1587,77.9582,24.4561,6.7969
198,Medium variant,Sub-Saharan Africa,f,947,2065-2070,39.2705,116.0999,150.2585,116.7791,75.2675,22.7139,5.9808
199,Medium variant,Sub-Saharan Africa,f,947,2070-2075,35.6922,109.7120,146.0880,114.9944,72.8982,21.1655,5.2473
200,Medium variant,Sub-Saharan Africa,f,947,2075-2080,32.4149,103.7464,142.3728,113.7843,70.8090,19.7959,4.5916
201,Medium variant,Sub-Saharan Africa,f,947,2080-2085,29.4044,98.1071,139.0195,113.0736,68.9609,18.5609,4.0080
202,Medium variant,Sub-Saharan Africa,f,947,2085-2090,26.6561,92.7955,135.9965,112.8252,67.3465,17.4557,3.4854
203,Medium variant,Sub-Saharan Africa,f,947,2090-2095,24.1296,87.7026,133.1784,112.9453,65.8964,16.4505,3.0189
204,Medium variant,Sub-Saharan Africa,f,947,2095-2100,21.8187,82.8109,130.5420,113.3859,64.5954,15.5312,2.6117
205,Medium variant,AFRICA,,903,2015-2020,92.2442,204.3823,217.0251,175.2559,123.9345,54.8105,18.1012
206,Medium variant,AFRICA,,903,2020-2025,84.5899,194.0251,207.9176,164.5172,115.1882,48.5070,15.9138
207,Medium variant,AFRICA,,903,2025-2030,76.7977,182.9248,199.1291,155.7099,108.2281,43.1645,13.9281
208,Medium variant,AFRICA,,903,2030-2035,69.9194,171.6821,190.2199,147.8171,102.4752,39.0212,12.2382
209,Medium variant,AFRICA,,903,2035-2040,64.0729,161.4051,181.2124,140.5432,97.1906,35.6810,10.9336
210,Medium variant,AFRICA,,903,2040-2045,58.6581,152.0988,173.4584,133.8724,92.3759,32.6607,9.9102
211,Medium variant,AFRICA,,903,2045-2050,53.5356,143.3617,167.0829,128.4250,87.7851,29.9009,8.9060
212,Medium variant,AFRICA,,903,2050-2055,48.7450,135.1815,161.3197,124.2839,83.8094,27.3365,7.8827
213,Medium variant,AFRICA,,903,2055-2060,44.3298,127.4217,155.9143,120.8511,80.5373,25.1664,6.9165
214,Medium variant,AFRICA,,903,2060-2065,40.3854,120.3059,151.1281,118.1637,77.7886,23.4512,6.1074
215,Medium variant,AFRICA,,903,2065-2070,36.8217,113.6921,146.8652,116.0635,75.3320,21.9311,5.4348
216,Medium variant,AFRICA,,903,2070-2075,33.5726,107.5328,143.0636,114.5040,73.0912,20.5242,4.8132
