,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
122,Medium variant,Israel,,376,822.976,824.803,842.884,879.327,920.751,953.123,963.266,957.953,948.771,947.205,953.933,959.328,958.213,947.187,931.165,916.755,906.428
123,Medium variant,Jordan,,400,1234.904,1205.105,1153.509,1137.924,1146.825,1147.620,1128.477,1096.014,1068.555,1047.006,1030.671,1011.182,985.225,955.718,928.729,906.481,888.206
124,Medium variant,Kuwait,,414,325.852,304.753,297.584,303.700,313.505,323.661,327.314,323.444,318.108,317.326,320.688,324.673,325.841,323.606,319.774,316.919,315.803
125,Medium variant,Lebanon,,422,457.427,437.966,373.645,308.690,263.485,244.732,246.501,255.051,255.504,241.584,222.423,208.903,205.222,206.530,205.961,199.797,189.943
126,Medium variant,Oman,,512,402.869,378.734,341.571,320.784,322.138,334.663,340.490,331.911,314.867,300.570,295.821,298.237,300.718,297.310,288.473,279.173,273.635
127,Medium variant,Qatar,,634,131.168,133.623,133.476,131.557,132.916,137.167,141.769,145.274,146.311,146.148,146.552,147.980,150.330,152.106,152.718,152.479,151.910
128,Medium variant,Saudi Arabia,,682,3159.283,2979.518,2730.261,2557.580,2499.997,2533.434,2571.900,2534.366,2426.293,2305.578,2230.816,2211.104,2211.979,2193.214,2142.326,2074.793,2015.931
129,Medium variant,State of Palestine,12,275,779.330,821.807,851.164,877.991,908.078,939.112,963.382,976.752,979.492,978.793,975.054,970.470,962.073,949.518,934.184,915.662,898.070
130,Medium variant,Syrian Arab Republic,,760,1927.076,2132.147,2468.254,2598.984,2607.064,2520.243,2406.969,2314.582,2258.367,2219.262,2172.737,2108.895,2035.195,1965.267,1912.155,1872.309,1835.385
131,Medium variant,Turkey,,792,6404.767,6209.046,5956.010,5757.377,5585.744,5425.847,5244.961,5047.425,4857.734,4702.557,4565.978,4451.179,4326.120,4198.683,4070.683,3957.335,3861.609
132,Medium variant,United Arab Emirates,,784,436.884,431.228,456.599,493.135,518.318,525.586,528.204,538.945,556.252,575.224,589.118,598.462,603.788,610.901,619.142,627.166,633.027
133,Medium variant,Yemen,,887,4385.675,4427.874,4423.714,4405.212,4358.456,4277.764,4157.984,3985.716,3799.223,3625.246,3467.119,3328.297,3204.363,3088.163,2978.295,2875.634,2781.233
